Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 56, mRNA",Homo sapiens,13031,13031,100%,0.0,99.87,7079,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407645.1?report=genbank&log$=nucltop&blast_rank=11&RID=X1JR6XB8016"",""NM_001407645.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 29, mRNA",Homo sapiens,13031,13031,100%,0.0,99.87,7079,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407617.1?report=genbank&log$=nucltop&blast_rank=12&RID=X1JR6XB8016"",""NM_001407617.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 57, mRNA",Homo sapiens,13012,13012,100%,0.0,99.83,7076,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407646.1?report=genbank&log$=nucltop&blast_rank=13&RID=X1JR6XB8016"",""NM_001407646.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 47, mRNA",Homo sapiens,13012,13012,100%,0.0,99.83,7076,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407635.1?report=genbank&log$=nucltop&blast_rank=14&RID=X1JR6XB8016"",""NM_001407635.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 52, mRNA",Homo sapiens,13012,13012,100%,0.0,99.83,7076,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407640.1?report=genbank&log$=nucltop&blast_rank=15&RID=X1JR6XB8016"",""NM_001407640.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 39, mRNA",Homo sapiens,13012,13012,100%,0.0,99.83,7076,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407627.1?report=genbank&log$=nucltop&blast_rank=16&RID=X1JR6XB8016"",""NM_001407627.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 19, mRNA",Homo sapiens,13005,13005,100%,0.0,99.82,7075,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407602.1?report=genbank&log$=nucltop&blast_rank=17&RID=X1JR6XB8016"",""NM_001407602.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 55, mRNA",Homo sapiens,12992,12992,100%,0.0,99.79,7073,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407644.1?report=genbank&log$=nucltop&blast_rank=18&RID=X1JR6XB8016"",""NM_001407644.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 34, mRNA",Homo sapiens,12986,12986,100%,0.0,99.77,7072,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407622.1?report=genbank&log$=nucltop&blast_rank=19&RID=X1JR6XB8016"",""NM_001407622.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 20, mRNA",Homo sapiens,12966,12966,100%,0.0,99.73,7069,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407603.1?report=genbank&log$=nucltop&blast_rank=20&RID=X1JR6XB8016"",""NM_001407603.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 43, mRNA",Homo sapiens,12966,12966,100%,0.0,99.73,7069,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407631.1?report=genbank&log$=nucltop&blast_rank=21&RID=X1JR6XB8016"",""NM_001407631.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 50, mRNA",Homo sapiens,12966,12966,100%,0.0,99.73,7069,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407638.1?report=genbank&log$=nucltop&blast_rank=22&RID=X1JR6XB8016"",""NM_001407638.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 58, mRNA",Homo sapiens,12953,12953,100%,0.0,99.70,7067,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407647.1?report=genbank&log$=nucltop&blast_rank=23&RID=X1JR6XB8016"",""NM_001407647.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 30, mRNA",Homo sapiens,12947,12947,100%,0.0,99.69,7066,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407618.1?report=genbank&log$=nucltop&blast_rank=24&RID=X1JR6XB8016"",""NM_001407618.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 25, mRNA",Homo sapiens,12947,12947,100%,0.0,99.69,7066,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407613.1?report=genbank&log$=nucltop&blast_rank=25&RID=X1JR6XB8016"",""NM_001407613.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 44, mRNA",Homo sapiens,12927,12927,100%,0.0,99.65,7063,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407632.1?report=genbank&log$=nucltop&blast_rank=26&RID=X1JR6XB8016"",""NM_001407632.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 14, mRNA",Homo sapiens,12925,13100,100%,0.0,100.00,8243,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407593.1?report=genbank&log$=nucltop&blast_rank=27&RID=X1JR6XB8016"",""NM_001407593.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 15, mRNA",Homo sapiens,12918,13093,100%,0.0,100.00,7622,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407594.1?report=genbank&log$=nucltop&blast_rank=28&RID=X1JR6XB8016"",""NM_001407594.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 17, mRNA",Homo sapiens,12918,13093,100%,0.0,100.00,7177,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407597.1?report=genbank&log$=nucltop&blast_rank=29&RID=X1JR6XB8016"",""NM_001407597.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 16, mRNA",Homo sapiens,12918,13082,100%,0.0,100.00,7254,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407596.1?report=genbank&log$=nucltop&blast_rank=30&RID=X1JR6XB8016"",""NM_001407596.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 22, mRNA",Homo sapiens,12905,13080,100%,0.0,99.96,8240,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407610.1?report=genbank&log$=nucltop&blast_rank=31&RID=X1JR6XB8016"",""NM_001407610.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 33, mRNA",Homo sapiens,12905,13080,100%,0.0,99.96,8240,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407621.1?report=genbank&log$=nucltop&blast_rank=32&RID=X1JR6XB8016"",""NM_001407621.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 37, mRNA",Homo sapiens,12898,13072,100%,0.0,99.96,7619,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407625.1?report=genbank&log$=nucltop&blast_rank=33&RID=X1JR6XB8016"",""NM_001407625.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 24, mRNA",Homo sapiens,12898,13072,100%,0.0,99.96,7174,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407612.1?report=genbank&log$=nucltop&blast_rank=34&RID=X1JR6XB8016"",""NM_001407612.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 32, mRNA",Homo sapiens,12898,13072,100%,0.0,99.96,7174,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407620.1?report=genbank&log$=nucltop&blast_rank=35&RID=X1JR6XB8016"",""NM_001407620.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 31, mRNA",Homo sapiens,12898,13072,100%,0.0,99.96,7619,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407619.1?report=genbank&log$=nucltop&blast_rank=36&RID=X1JR6XB8016"",""NM_001407619.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 27, mRNA",Homo sapiens,12898,13072,100%,0.0,99.96,7619,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407615.1?report=genbank&log$=nucltop&blast_rank=37&RID=X1JR6XB8016"",""NM_001407615.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 21, mRNA",Homo sapiens,12894,13069,100%,0.0,100.00,7609,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407605.1?report=genbank&log$=nucltop&blast_rank=38&RID=X1JR6XB8016"",""NM_001407605.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 46, mRNA",Homo sapiens,12887,13061,100%,0.0,99.91,8237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407634.1?report=genbank&log$=nucltop&blast_rank=39&RID=X1JR6XB8016"",""NM_001407634.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 45, mRNA",Homo sapiens,12879,13054,100%,0.0,99.91,7616,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407633.1?report=genbank&log$=nucltop&blast_rank=40&RID=X1JR6XB8016"",""NM_001407633.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 54, mRNA",Homo sapiens,12879,13054,100%,0.0,99.91,7616,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407642.1?report=genbank&log$=nucltop&blast_rank=41&RID=X1JR6XB8016"",""NM_001407642.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 51, mRNA",Homo sapiens,12879,13054,100%,0.0,99.91,7171,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407639.1?report=genbank&log$=nucltop&blast_rank=42&RID=X1JR6XB8016"",""NM_001407639.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 48, mRNA",Homo sapiens,12879,13054,100%,0.0,99.91,7171,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407636.1?report=genbank&log$=nucltop&blast_rank=43&RID=X1JR6XB8016"",""NM_001407636.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 41, mRNA",Homo sapiens,12879,13054,100%,0.0,99.91,7171,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407629.1?report=genbank&log$=nucltop&blast_rank=44&RID=X1JR6XB8016"",""NM_001407629.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 42, mRNA",Homo sapiens,12879,13054,100%,0.0,99.91,7616,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407630.1?report=genbank&log$=nucltop&blast_rank=45&RID=X1JR6XB8016"",""NM_001407630.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 35, mRNA",Homo sapiens,12874,13048,100%,0.0,99.96,7606,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407623.1?report=genbank&log$=nucltop&blast_rank=46&RID=X1JR6XB8016"",""NM_001407623.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 138, mRNA",Homo sapiens,12853,13028,100%,0.0,99.86,7167,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407841.1?report=genbank&log$=nucltop&blast_rank=47&RID=X1JR6XB8016"",""NM_001407841.1"")"
"PREDICTED: Pan troglodytes BRCA1 DNA repair associated (BRCA1), transcript variant X1, mRNA",Pan troglodytes,12746,12746,100%,0.0,99.15,7200,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_009432080.5?report=genbank&log$=nucltop&blast_rank=48&RID=X1JR6XB8016"",""XM_009432080.5"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 112, mRNA",Homo sapiens,12735,12912,99%,0.0,100.00,6989,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407729.1?report=genbank&log$=nucltop&blast_rank=49&RID=X1JR6XB8016"",""NM_001407729.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 111, mRNA",Homo sapiens,12735,12899,99%,0.0,99.99,6983,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407728.1?report=genbank&log$=nucltop&blast_rank=50&RID=X1JR6XB8016"",""NM_001407728.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 113, mRNA",Homo sapiens,12735,13054,100%,0.0,100.00,7201,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407730.1?report=genbank&log$=nucltop&blast_rank=51&RID=X1JR6XB8016"",""NM_001407730.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 108, mRNA",Homo sapiens,12735,13093,100%,0.0,100.00,7207,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407725.1?report=genbank&log$=nucltop&blast_rank=52&RID=X1JR6XB8016"",""NM_001407725.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 105, mRNA",Homo sapiens,12735,13096,100%,0.0,100.00,7767,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407697.1?report=genbank&log$=nucltop&blast_rank=53&RID=X1JR6XB8016"",""NM_001407697.1"")"
"PREDICTED: Pan troglodytes BRCA1 DNA repair associated (BRCA1), transcript variant X7, mRNA",Pan troglodytes,12728,12728,100%,0.0,99.11,7197,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_054669711.2?report=genbank&log$=nucltop&blast_rank=54&RID=X1JR6XB8016"",""XM_054669711.2"")"
"PREDICTED: Pan troglodytes BRCA1 DNA repair associated (BRCA1), transcript variant X5, mRNA",Pan troglodytes,12728,12728,100%,0.0,99.11,7112,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_054669710.2?report=genbank&log$=nucltop&blast_rank=55&RID=X1JR6XB8016"",""XM_054669710.2"")"
"PREDICTED: Pan troglodytes BRCA1 DNA repair associated (BRCA1), transcript variant X3, mRNA",Pan troglodytes,12728,12728,100%,0.0,99.11,7197,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_054669709.2?report=genbank&log$=nucltop&blast_rank=56&RID=X1JR6XB8016"",""XM_054669709.2"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 128, mRNA",Homo sapiens,12717,12880,99%,0.0,99.94,6980,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407745.1?report=genbank&log$=nucltop&blast_rank=57&RID=X1JR6XB8016"",""NM_001407745.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 120, mRNA",Homo sapiens,12717,12880,99%,0.0,99.94,6980,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407737.1?report=genbank&log$=nucltop&blast_rank=58&RID=X1JR6XB8016"",""NM_001407737.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 124, mRNA",Homo sapiens,12715,13075,100%,0.0,99.96,7742,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407741.1?report=genbank&log$=nucltop&blast_rank=59&RID=X1JR6XB8016"",""NM_001407741.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 123, mRNA",Homo sapiens,12715,13072,100%,0.0,99.96,7204,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407740.1?report=genbank&log$=nucltop&blast_rank=60&RID=X1JR6XB8016"",""NM_001407740.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 122, mRNA",Homo sapiens,12715,13072,100%,0.0,99.96,7204,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407739.1?report=genbank&log$=nucltop&blast_rank=61&RID=X1JR6XB8016"",""NM_001407739.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 118, mRNA",Homo sapiens,12715,12891,99%,0.0,99.96,6986,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407735.1?report=genbank&log$=nucltop&blast_rank=62&RID=X1JR6XB8016"",""NM_001407735.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 126, mRNA",Homo sapiens,12715,12891,99%,0.0,99.96,6986,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407743.1?report=genbank&log$=nucltop&blast_rank=63&RID=X1JR6XB8016"",""NM_001407743.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 135, mRNA",Homo sapiens,12715,13034,100%,0.0,99.96,7198,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407752.1?report=genbank&log$=nucltop&blast_rank=64&RID=X1JR6XB8016"",""NM_001407752.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 131, mRNA",Homo sapiens,12715,13034,100%,0.0,99.96,7198,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407748.1?report=genbank&log$=nucltop&blast_rank=65&RID=X1JR6XB8016"",""NM_001407748.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 117, mRNA",Homo sapiens,12715,13034,100%,0.0,99.96,7198,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407734.1?report=genbank&log$=nucltop&blast_rank=66&RID=X1JR6XB8016"",""NM_001407734.1"")"
"PREDICTED: Pan troglodytes BRCA1 DNA repair associated (BRCA1), transcript variant X13, mRNA",Pan troglodytes,12707,12707,100%,0.0,99.07,7109,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_054669717.2?report=genbank&log$=nucltop&blast_rank=67&RID=X1JR6XB8016"",""XM_054669717.2"")"
"PREDICTED: Pan troglodytes BRCA1 DNA repair associated (BRCA1), transcript variant X11, mRNA",Pan troglodytes,12707,12707,100%,0.0,99.07,7194,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_024350087.3?report=genbank&log$=nucltop&blast_rank=68&RID=X1JR6XB8016"",""XM_024350087.3"")"
"PREDICTED: Pan troglodytes BRCA1 DNA repair associated (BRCA1), transcript variant X9, mRNA",Pan troglodytes,12707,12707,100%,0.0,99.07,7109,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_054669714.2?report=genbank&log$=nucltop&blast_rank=69&RID=X1JR6XB8016"",""XM_054669714.2"")"
"PREDICTED: Pan troglodytes BRCA1 DNA repair associated (BRCA1), transcript variant X2, mRNA",Pan troglodytes,12707,12707,100%,0.0,99.07,7190,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_009432081.5?report=genbank&log$=nucltop&blast_rank=70&RID=X1JR6XB8016"",""XM_009432081.5"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 136, mRNA",Homo sapiens,12696,13057,100%,0.0,99.91,7735,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407838.1?report=genbank&log$=nucltop&blast_rank=71&RID=X1JR6XB8016"",""NM_001407838.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 144, mRNA",Homo sapiens,12696,13054,100%,0.0,99.91,7201,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407847.1?report=genbank&log$=nucltop&blast_rank=72&RID=X1JR6XB8016"",""NM_001407847.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 148, mRNA",Homo sapiens,12696,12873,99%,0.0,99.91,6983,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407851.1?report=genbank&log$=nucltop&blast_rank=73&RID=X1JR6XB8016"",""NM_001407851.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 143, mRNA",Homo sapiens,12696,13015,100%,0.0,99.91,7221,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407846.1?report=genbank&log$=nucltop&blast_rank=74&RID=X1JR6XB8016"",""NM_001407846.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 147, mRNA",Homo sapiens,12696,13015,100%,0.0,99.91,7195,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407850.1?report=genbank&log$=nucltop&blast_rank=75&RID=X1JR6XB8016"",""NM_001407850.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 141, mRNA",Homo sapiens,12696,12873,99%,0.0,99.91,6983,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407844.1?report=genbank&log$=nucltop&blast_rank=76&RID=X1JR6XB8016"",""NM_001407844.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 137, mRNA",Homo sapiens,12696,12860,99%,0.0,99.90,6977,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407839.1?report=genbank&log$=nucltop&blast_rank=77&RID=X1JR6XB8016"",""NM_001407839.1"")"
"Homo sapiens BRCA1 DNA repair associated (BRCA1), transcript variant 145, mRNA",Homo sapiens,12696,12860,99%,0.0,99.90,6977,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001407848.1?report=genbank&log$=nucltop&blast_rank=78&RID=X1JR6XB8016"",""NM_001407848.1"")"
"PREDICTED: Pan troglodytes BRCA1 DNA repair associated (BRCA1), transcript variant X15, mRNA",Pan troglodytes,12689,12689,100%,0.0,99.03,7106,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_054669719.2?report=genbank&log$=nucltop&blast_rank=79&RID=X1JR6XB8016"",""XM_054669719.2"")"
"PREDICTED: Pan troglodytes BRCA1 DNA repair associated (BRCA1), transcript variant X8, mRNA",Pan troglodytes,12689,12689,100%,0.0,99.03,7187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_054669712.2?report=genbank&log$=nucltop&blast_rank=80&RID=X1JR6XB8016"",""XM_054669712.2"")"
"PREDICTED: Pan troglodytes BRCA1 DNA repair associated (BRCA1), transcript variant X6, mRNA",Pan troglodytes,12689,12689,100%,0.0,99.03,7110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_009432084.5?report=genbank&log$=nucltop&blast_rank=81&RID=X1JR6XB8016"",""XM_009432084.5"")"
"PREDICTED: Pan troglodytes BRCA1 DNA repair associated (BRCA1), transcript variant X4, mRNA",Pan troglodytes,12689,12689,100%,0.0,99.03,7187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_054669708.2?report=genbank&log$=nucltop&blast_rank=82&RID=X1JR6XB8016"",""XM_054669708.2"")"
"PREDICTED: Pan troglodytes BRCA1 DNA repair associated (BRCA1), transcript variant X14, mRNA",Pan troglodytes,12669,12669,100%,0.0,98.98,7107,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_054669716.2?report=genbank&log$=nucltop&blast_rank=83&RID=X1JR6XB8016"",""XM_054669716.2"")"
"PREDICTED: Pan troglodytes BRCA1 DNA repair associated (BRCA1), transcript variant X12, mRNA",Pan troglodytes,12669,12669,100%,0.0,98.98,7184,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_054669715.2?report=genbank&log$=nucltop&blast_rank=84&RID=X1JR6XB8016"",""XM_054669715.2"")"
